fecha,salario_real
2023-11-01,1792356.6607691909
2023-12-01,1557134.7282240654
2024-01-01,1291004.2115625795
2024-02-01,1140053.4300522618
2024-03-01,1026985.4151885975
2024-04-01,1225980.4974711295
2024-05-01,1176832.129130107
2024-06-01,1326434.1924744952
2024-07-01,1275038.2461830967
2024-08-01,1223970.8379634363
2024-09-01,1182932.4495492848
2024-10-01,1151925.6291810032
2024-11-01,1124635.7129608158
2024-12-01,1095025.0950023173
2025-01-01,1071337.3126317197
2025-02-01,1046211.2170592232
2025-03-01,1008597.2439394714
2025-04-01,981308.660947224
2025-05-01,966796.0026742184
2025-06-01,951393.65408257
2025-07-01,933638.7967512802
2025-08-01,916448.1223375808
2025-09-01,897809.9441132988
2025-10-01,877264.899314106
2025-11-01,856094.3731573024
2025-12-01,832410.0438004911
2026-01-01,809095.0055315826
2026-02-01,786433.0
