fecha,salario_real
2023-11-01,1709803.7583773613
2023-12-01,1437717.356549964
2024-01-01,1191996.5104493753
2024-02-01,1221042.3000347693
2024-03-01,1231934.5438445157
2024-04-01,1222518.6305004512
2024-05-01,1279124.5592471056
2024-06-01,1272065.1537968004
2024-07-01,1314484.3026553388
2024-08-01,1287074.9060735812
2024-09-01,1281237.7727494729
2024-10-01,1332493.8198125225
2024-11-01,1326945.813056157
2024-12-01,1304928.5871899535
2025-01-01,1295849.6213508297
2025-02-01,1280643.6901276354
2025-03-01,1250651.7076120337
2025-04-01,1232632.426145307
2025-05-01,1230190.1434960905
2025-06-01,1226329.3177628522
2025-07-01,1219088.3051102483
2025-08-01,1212197.6672629581
2025-09-01,1201795.5892588724
2025-10-01,1187211.7588672033
2025-11-01,1171305.4577381567
2025-12-01,1161678.756132685
2026-01-01,1129141.2046493406
2026-02-01,1097515.0
